,brick row,shoe column,shoe row,results
254,12,4,11,3.1306797587441426e-06
255,12,4,12,4.361631498968112e-06
256,12,4,13,6.260202958613494e-06
257,12,4,14,9.31068818781952e-06
258,12,4,15,1.445983306700368e-05
259,12,4,16,2.369475987582385e-05
260,12,4,17,4.156894936853358e-05
261,12,4,18,7.97400367849466e-05
262,12,4,2,3.601992290929092e-07
263,12,4,3,4.3564041799278543e-07
264,12,4,4,5.318985493817965e-07
265,12,4,5,6.562568315406412e-07
266,12,4,6,8.191534532316754e-07
267,12,4,7,1.0358390838363374e-06
268,12,4,8,1.3290867352038937e-06
269,12,4,9,1.7337425216224176e-06
270,12,1,1,2.2443851581174257e-07
271,12,1,10,1.7267380397493306e-06
272,12,1,11,2.347390411800021e-06
273,12,1,12,3.2734217791412213e-06
274,12,1,13,4.704019800482717e-06
275,12,1,14,7.007534539429832e-06
276,12,1,15,1.0907147577543248e-05
277,12,1,16,1.7929742506875422e-05
278,12,1,17,3.160400499352586e-05
279,12,1,18,6.108105411684866e-05
280,12,1,2,2.691577730987452e-07
281,12,1,3,3.2558768770829823e-07
282,12,1,4,3.976090033176733e-07
283,12,1,5,4.906857254536105e-07
284,12,1,6,6.126536838886125e-07
285,12,1,7,7.749698059751668e-07
286,12,1,8,9.94757032698683e-07
287,12,1,9,1.2982434098097323e-06
288,13,2,1,1.8078414466756515e-07
289,13,2,10,1.1065944620823921e-06
290,13,2,11,1.4382789755661078e-06
291,13,2,12,1.903406823196293e-06
292,13,2,13,2.5715097252169835e-06
293,13,2,14,3.5579812637242957e-06
294,13,2,15,5.061879306226749e-06
295,13,2,16,7.442288674825145e-06
296,13,2,17,1.1381948005375713e-05
297,13,2,18,1.8263002875335608e-05
298,13,2,2,2.1333155809433105e-07
299,13,2,3,2.535307578987082e-07
300,13,2,4,3.036422158698132e-07
301,13,2,5,3.6674132022579885e-07
302,13,2,6,4.4707546235954866e-07
303,13,2,7,5.50599644276297e-07
304,13,2,8,6.858062665364351e-07
305,13,2,9,8.650352036089374e-07
306,13,3,1,1.3995152455071176e-07
307,13,3,10,8.578188844073428e-07
308,13,3,11,1.1152896517432758e-06
309,13,3,12,1.476534952714069e-06
310,13,3,13,1.995755391590929e-06
311,13,3,14,2.7630096891455448e-06
312,13,3,15,3.933884451032119e-06
313,13,3,16,5.789574004785156e-06
314,13,3,17,8.866007086436377e-06
315,13,3,18,1.4251508564986635e-05
316,13,3,2,1.6516086569624376e-07
317,13,3,3,1.9630081623053105e-07
318,13,3,4,2.3512484855356286e-07
319,13,3,5,2.8401922780822404e-07
320,13,3,6,3.462806288958912e-07
321,13,3,7,4.2653277269928837e-07
322,13,3,8,5.31372266699563e-07
323,13,3,9,6.703889542542164e-07
324,13,4,1,2.1378758619213978e-07
325,13,4,10,1.3290880644905462e-06
326,13,4,11,1.733744248481463e-06
327,13,4,12,2.3046171962245104e-06
328,13,4,13,3.1306780575222863e-06
329,13,4,14,4.361633782590437e-06
330,13,4,15,6.260203415679578e-06
331,13,4,16,9.31068892456321e-06
332,13,4,17,1.4459831984448835e-05
333,13,4,18,2.3694757791504867e-05
334,13,4,2,2.5250705221987835e-07
335,13,4,3,3.0039905197712515e-07
336,13,4,4,3.601991821322304e-07
337,13,4,5,4.3564086004918207e-07
338,13,4,6,5.318985721198082e-07
339,13,4,7,6.562568609596125e-07
340,13,4,8,8.191534918280696e-07
341,13,4,9,1.035839135266129e-06
342,13,1,1,1.5968811167826507e-07
343,13,1,10,9.947580275041043e-07
344,13,1,11,1.2982447027364618e-06
345,13,1,12,1.7267363000550547e-06
346,13,1,13,2.3473891360391356e-06
347,13,1,14,3.27342349287372e-06
348,13,1,15,4.704020144926708e-06
349,13,1,16,7.0075350958428285e-06
350,13,1,17,1.0907146762965178e-05
351,13,1,18,1.792974092408221e-05
352,13,1,2,1.886315289353518e-07
353,13,1,3,2.2443826764332947e-07
354,13,1,4,2.691577379759384e-07
355,13,1,5,3.255880180769695e-07
356,13,1,6,3.9760902033118895e-07
357,13,1,7,4.90685747473e-07
358,13,1,8,6.12653712788461e-07
359,13,1,9,7.749698445015638e-07
360,14,2,1,1.3233503750635394e-07
361,14,2,10,6.85806964065478e-07
362,14,2,11,8.650360817350716e-07
363,14,2,12,1.106593354467874e-06
364,14,2,13,1.4382782191105917e-06
365,14,2,14,1.903407853111804e-06
366,14,2,15,2.5715099316958083e-06
367,14,2,16,3.5579815756757843e-06
368,14,2,17,5.061879010927701e-06
369,14,2,18,7.442288299986876e-06
370,14,2,2,1.5420736247975373e-07
371,14,2,3,1.8078394647256823e-07
372,14,2,4,2.1333153399449195e-07
373,14,2,5,2.535310177357737e-07
374,14,2,6,3.0364222962272176e-07
375,14,2,7,3.66741337691176e-07
376,14,2,8,4.470754848013347e-07
377,14,2,9,5.505996734931004e-07
378,14,3,1,1.0243159148322146e-07
379,14,3,10,5.31372807139576e-07
380,14,3,11,6.703896347669147e-07
381,14,3,12,8.578180258555586e-07
382,14,3,13,1.1152890651750959e-06
383,14,3,14,1.4765357517059672e-06
384,14,3,15,1.995755552148948e-06
385,14,3,16,2.7630099319471956e-06
386,14,3,17,3.933884222338018e-06
387,14,3,18,5.789573713836299e-06
388,14,3,2,1.193690138655193e-07
389,14,3,3,1.3995137111953215e-07
390,14,3,4,1.651608470273853e-07
391,14,3,5,1.9630101741046088e-07
392,14,3,6,2.3512485920958875e-07
393,14,3,7,2.8401924134293524e-07
394,14,3,8,3.4628064629183516e-07
395,14,3,9,4.265327953511912e-07
396,14,4,1,1.5625480753868236e-07
397,14,4,10,8.191543247154496e-07
398,14,4,11,1.0358401863932626e-06
399,14,4,12,1.329086735203102e-06
400,14,4,13,1.7337433368415445e-06
401,14,4,14,2.3046184441893325e-06
402,14,4,15,3.1306783144764995e-06
403,14,4,16,4.3616341750084905e-06
404,14,4,17,6.260203065258794e-06
405,14,4,18,9.310688467810514e-06
406,14,4,2,1.8221166021866418e-07
407,14,4,3,2.1378735177470016e-07
408,14,4,4,2.525070235347382e-07
409,14,4,5,3.003993597950082e-07
410,14,4,6,3.6019919856796355e-07
411,14,4,7,4.356408809645822e-07
412,14,4,8,5.318985990611456e-07
413,14,4,9,6.562568961332099e-07
414,14,1,1,1.1669139021339033e-07
415,14,1,10,6.126543356881807e-07
416,14,1,11,7.74970630871815e-07
417,14,1,12,9.947570326982518e-07
418,14,1,13,1.2982440201136173e-06
419,14,1,14,1.7267372351921037e-06
420,14,1,15,2.347389329271199e-06
421,14,1,16,3.2734237884179817e-06
422,14,1,17,4.70401988317454e-06
423,14,1,18,7.0075347534195985e-06
424,14,1,2,1.3608850382128833e-07
425,14,1,3,1.5968793657632934e-07
426,14,1,4,1.886315074914674e-07
427,14,1,5,2.244384976195247e-07
428,14,1,6,2.6915775026918554e-07
429,14,1,7,3.25588033725098e-07
430,14,1,8,3.9760904049422073e-07
431,14,1,9,4.906857738064246e-07
432,15,2,1,9.907050748196957e-08
433,15,2,10,4.470759186292352e-07
434,15,2,11,5.50600205281954e-07
435,15,2,12,6.858062345116021e-07
436,15,2,13,8.650355742518712e-07
437,15,2,14,1.1065938795676244e-06
438,15,2,15,1.4382782191119574e-06
439,15,2,16,1.9034078531131848e-06
440,15,2,17,2.5715095427557113e-06
441,15,2,18,3.55798106399437e-06
442,15,2,2,1.1420321449923087e-07
443,15,2,3,1.3233488797200891e-07
444,15,2,4,1.5420734053923342e-07
445,15,2,5,1.8078412504793856e-07
446,15,2,6,2.1333153399479329e-07
447,15,2,7,2.535310177361966e-07
448,15,2,8,3.0364222962298746e-07
449,15,2,9,3.6674133769085214e-07
450,15,3,1,7.667555573042617e-08
451,15,3,10,3.462809822904875e-07
452,15,3,11,4.265332072821712e-07
453,15,3,12,5.31372241866963e-07
454,15,3,13,6.703892414350752e-07
455,15,3,14,8.578184328558226e-07
456,15,3,15,1.1152890651758468e-06
457,15,3,16,1.4765357517070558e-06
458,15,3,17,1.995755250221651e-06
459,15,3,18,2.7630095342063047e-06
460,15,3,2,8.839198454017522e-08
461,15,3,3,1.0243147573620088e-07
462,15,3,4,1.1936899687333681e-07
463,15,3,5,1.39951509355347e-07
464,15,3,6,1.6516084702756182e-07
465,15,3,7,1.9630101740987947e-07
466,15,3,8,2.3512485920997817e-07
467,15,3,9,2.8401924134258096e-07
468,15,4,1,1.1683495831397806e-07
469,15,4,10,5.318991148228793e-07
470,15,4,11,6.562575294312552e-07
471,15,4,12,8.191534532317326e-07
472,15,4,13,1.0358395779957607e-06
473,15,4,14,1.3290873649820043e-06
474,15,4,15,1.7337433368423354e-06
475,15,4,16,2.3046184441906992e-06
476,15,4,17,3.1306778397351748e-06
477,15,4,18,4.361633540734172e-06
478,15,4,2,1.3475891263140977e-07
479,15,4,3,1.562546309248187e-07
480,15,4,4,1.8221163416682395e-07
481,15,4,5,2.137875628716701e-07
482,15,4,6,2.525070235347193e-07
483,15,4,7,3.0039935979520615e-07
484,15,4,8,3.6019919856822915e-07
485,15,4,9,4.3564088096487844e-07
