,brick row,shoe column,shoe row,results
238,5,3,15,4.309240646278803e-05
239,5,4,18,1.0920677629396028e-05
240,9,1,18,0.013449587457331368
241,17,3,4,6.461365334439997e-08
242,1,2,13,2.33953878047725e-06
243,13,3,9,6.476442099632374e-07
244,17,4,1,5.160548378766636e-08
245,3,4,18,2.3487862004967312e-06
246,17,4,6,1.0064263603697282e-07
247,10,3,11,8.543653076786544e-06
248,13,2,10,1.058157294905685e-06
249,17,1,17,1.0361966402459038e-06
250,9,3,5,1.9266552964241964e-06
251,18,2,5,4.978800101833041e-08
252,17,2,8,1.475328691111485e-07
253,16,3,6,1.1538688650396737e-07
254,17,4,18,9.951466798617277e-07
255,10,3,5,1.0771368207334702e-06
256,2,2,2,0.003755663390756563
257,10,3,6,1.4257511588687016e-06
258,5,1,7,0.0014470275132751165
259,5,4,7,0.0012213116628182706
260,9,1,16,0.005610639241966767
261,9,1,3,1.734509582590911e-06
262,7,3,18,8.78901688227536e-05
263,10,4,4,9.951461396030455e-07
264,13,4,10,9.951472256364226e-07
265,8,3,15,0.013258484259925988
266,4,3,9,0.0033716968122249422
267,18,3,11,9.308163750962835e-08
268,18,3,15,1.8886339336084738e-07
269,8,2,5,4.835998457069506e-06
270,14,2,15,2.4579272631892667e-06
271,3,4,17,3.275712014090348e-06
272,6,1,11,0.0134496095079659
273,6,3,17,4.309239409651531e-05
274,6,3,5,2.3401014478134788e-05
275,3,1,18,3.1325278568514717e-06
276,5,4,1,1.092067166695545e-05
277,4,4,10,0.001221316229298424
278,8,3,7,8.54364388525338e-06
279,8,2,10,5.443692375347184e-05
280,3,3,2,0.0002075845410472693
281,11,4,10,3.275714121511566e-06
282,6,2,5,2.9651842199479608e-05
283,11,2,9,2.4579260275658695e-06
284,12,1,8,1.3296044604944881e-06
285,10,4,18,0.005409412607870578
286,8,1,13,0.0014470280610293432
287,2,2,9,5.4436887442621e-05
288,12,1,15,1.4477472243592217e-05
289,12,1,10,2.3057935423240673e-06
290,17,1,1,6.912854508613632e-08
291,5,3,7,0.000629590431676399
292,14,2,11,8.27249531311849e-07
293,7,2,4,7.107754568690833e-06
294,6,3,8,0.00020758438904672086
295,13,3,15,3.795127181632889e-06
296,17,4,17,7.752383226124075e-07
297,1,3,9,9.441440080137643e-06
298,6,1,13,0.0056106415988025704
299,10,4,14,6.124410918151838e-05
300,1,3,13,1.8347940535825909e-06
301,12,3,17,2.3401029995980263e-05
302,6,1,6,7.9944546389398e-05
303,11,3,15,2.340103207364004e-05
304,15,1,16,2.3057924676914956e-06
305,11,1,5,1.0361961637485822e-06
306,16,1,6,1.822382686222147e-07
307,14,4,13,1.2988228053857278e-06
308,7,2,13,0.013024908965009028
309,11,1,11,6.265363705711752e-06
310,7,3,10,0.000207584594757184
311,13,2,11,1.3751691250284932e-06
312,7,2,8,5.443687740102262e-05
313,5,2,5,0.00011052992213579344
314,15,3,18,2.666555165866538e-06
315,1,4,15,1.1887361183334655e-06
316,11,1,13,1.4477471331728398e-05
317,8,3,5,3.7951246952551426e-06
318,13,4,3,2.2448036612103067e-07
319,17,4,8,1.361084066882003e-07
320,17,2,2,6.363315005904203e-08
321,7,4,5,1.092066933523962e-05
322,12,2,18,5.443690386768937e-05
323,1,2,6,7.605310590730391e-05
324,3,2,7,0.0037556725162636736
325,15,1,3,1.562757938827676e-07
326,8,1,4,4.36465440549683e-06
327,6,3,16,8.78901728080559e-05
328,5,1,17,2.3730957191904546e-05
329,18,2,13,1.6688369946604485e-07
330,15,2,13,8.272490460139013e-07
331,15,1,13,1.0361966894901054e-06
332,1,1,2,0.009254337814365642
333,1,3,11,3.841290095062258e-06
334,4,3,1,2.3401024266348884e-05
335,6,4,14,0.0012213153169907754
336,14,1,8,5.320307065528147e-07
337,14,1,14,2.305792467689779e-06
338,7,4,13,0.014242386273546823
339,15,4,8,2.6921299487781833e-07
340,18,3,16,2.30249274152519e-07
341,4,4,7,0.014242380563058564
342,3,1,16,6.26536045751458e-06
343,10,2,14,5.44369020939227e-05
344,2,3,11,1.372151570610958e-05
345,14,2,7,3.5080939870343306e-07
346,10,1,2,8.194052226253439e-07
347,1,4,11,4.8265782101102905e-06
348,17,3,17,6.476444561395848e-07
349,7,3,14,0.013258446573496034
350,14,4,14,1.7276222385610547e-06
351,9,1,12,7.994455457579458e-05
352,5,2,1,1.086545495697402e-05
353,3,1,15,9.319941839321857e-06
354,14,1,12,1.3296044604936394e-06
355,16,4,6,1.361083975844339e-07
356,6,2,7,0.00011052993590874495
357,2,2,14,4.836002192621052e-06
358,11,1,7,1.7345114312370813e-06
359,14,4,4,1.8866396683807926e-07
360,7,3,5,8.543643526868501e-06
361,8,2,12,0.0002592186230508602
362,15,2,8,2.904637953611612e-07
363,3,4,5,0.01424238056334171
364,18,1,3,4.756566364892931e-08
365,4,3,3,8.788999331071516e-05
366,4,1,15,2.3730959690242766e-05
367,2,3,13,5.582647634309768e-06
368,12,4,11,2.348787577660349e-06
369,1,4,6,9.252065279651074e-05
370,5,3,4,4.309235205250355e-05
371,17,3,9,1.352779297002535e-07
372,2,1,13,9.319943314798802e-06
373,15,1,9,4.357389268903832e-07
374,7,4,10,0.00035437241204351654
375,7,3,11,0.0006295911857652395
376,13,1,18,2.3730954280115467e-05
377,13,2,6,4.2763267828818967e-07
378,17,3,10,1.596391191844999e-07
379,9,4,8,7.0145875641903215e-06
380,2,3,7,0.00020758458509558244
381,7,4,9,0.00013446265193577724
382,5,4,10,0.014242378045467952
383,16,3,5,9.901765776891606e-08
384,2,2,3,0.013024893311307986
385,17,4,7,1.1670720041641714e-07
386,2,3,16,1.926656569936834e-06
387,10,3,14,4.309238448696827e-05
388,11,3,16,4.3092390939329425e-05
389,3,3,10,8.789022604138418e-05
390,8,4,6,7.014586893335314e-06
391,2,3,12,8.543645733916194e-06
392,4,3,14,2.340103807464799e-05
393,5,3,2,1.3721499810438527e-05
394,2,1,8,0.00017324539469647156
395,7,4,6,1.7957717241825422e-05
396,2,3,5,0.0033716981339659024
397,3,3,12,2.3401022335998883e-05
398,8,1,10,7.994462959837913e-05
399,4,4,11,0.0003543729537957096
400,14,1,18,9.319941452099715e-06
401,18,4,12,1.2981521554019933e-07
402,5,3,3,2.3400992788996845e-05
403,11,1,9,3.1325266695062607e-06
404,15,4,7,2.2448059613966472e-07
405,1,2,1,0.008962127811250614
406,9,4,11,3.166765845865763e-05
407,5,3,14,8.789019292965728e-05
408,2,4,17,1.7276220513161026e-06
409,2,4,4,0.014242365674342106
410,10,2,15,0.0001105300096240318
411,4,1,11,0.0004451309256381714
412,8,1,2,2.305791461276817e-06
413,10,4,5,1.298822067814641e-06
414,8,2,16,0.013024883310432339
415,16,3,11,2.744804129200089e-07
416,9,2,11,2.9651876721721772e-05
417,7,1,3,6.265350593690304e-06
418,6,3,3,8.543635052167478e-06
419,13,3,14,2.6665553154786734e-06
420,18,2,2,3.426078328642303e-08
421,14,3,15,1.926656539607809e-06
422,16,4,10,2.692132580704397e-07
423,16,3,13,4.1214590271152494e-07
424,7,2,10,0.0002592188980400615
425,10,2,12,1.7423809478793605e-05
426,7,4,18,0.0001344627883044565
427,4,3,16,8.543649769388564e-06
428,2,4,6,0.0012213144046583485
429,8,2,1,1.3751677917421012e-06
430,17,4,15,4.908215557647405e-07
431,2,2,13,7.107760570045973e-06
432,9,3,17,0.013258483724783979
433,12,2,12,3.4001125823516546e-06
434,4,2,9,0.0037556725161786023
435,4,1,16,1.4477473668533638e-05
436,2,2,4,0.013024880615975084
437,8,1,12,0.00044512981621873117
438,12,1,11,3.132529688225175e-06
439,7,4,7,3.1667626679933675e-05
440,14,3,4,1.5963895051384356e-07
441,15,4,2,1.0064264311641367e-07
442,7,1,10,0.0004451302924141806
